,Name,Window_size,para
0,Agric,80.0,0.0001
1,Food,80.0,0.0001
2,Soda,80.0,0.0001
3,Beer,80.0,0.0001
4,Smoke,80.0,0.0001
5,Toys,80.0,0.0001
6,Fun,80.0,0.0001
7,Books,80.0,0.0001
8,Hshld,80.0,0.0001
9,Clths,80.0,0.0001
10,Hlth,80.0,0.0001
11,MedEq,80.0,0.0001
12,Drugs,80.0,0.0001
13,Chems,80.0,0.0001
14,Rubbr,80.0,0.0001
15,Txtls,80.0,0.0001
16,BldMt,80.0,0.0001
17,Cnstr,80.0,0.0001
18,Steel,80.0,0.0001
19,FabPr,80.0,0.0001
20,Mach,80.0,0.0001
21,ElcEq,80.0,0.0001
22,Autos,80.0,0.0001
23,Aero,80.0,0.0001
24,Ships,80.0,0.0001
25,Guns,80.0,0.0001
26,Gold,80.0,0.0001
27,Mines,80.0,0.0001
28,Coal,80.0,0.0001
29,Oil,80.0,0.0001
30,Util,80.0,0.0001
31,Telcm,80.0,0.0001
32,PerSv,80.0,0.0001
33,BusSv,80.0,0.0001
34,Comps,80.0,0.0001
35,Chips,80.0,0.0001
36,LabEq,80.0,0.0001
37,Paper,80.0,0.0001
38,Boxes,80.0,0.0001
39,Trans,80.0,0.0001
40,Whlsl,80.0,0.0001
41,Rtail,80.0,0.0001
42,Meals,80.0,0.0001
43,Banks,80.0,0.0001
44,Insur,80.0,0.0001
45,RlEst,80.0,0.0001
46,Fin,80.0,0.0001
47,Other,80.0,0.0001
