,,,BusSv,Gold,Mach,Smoke,Soda,Whlsl
,Lasso,lag 1,0.289637669,2.360363614,0.351710935,0.964429601,1.110823458,0.34367191
,,lag 5,0.289843774,2.361867691,0.352002194,0.964569022,1.110867781,0.343920197
,,lag10,0.290290152,2.360061275,0.351698765,0.964025871,1.112188056,0.343851231
,Random Forest,lag 1,0.34312393,2.45616705,0.407051447,1.089573143,1.155838027,0.387731298
,,lag 5,0.344585287,2.439612861,0.411149145,1.09993416,1.150212515,0.38107978
,,lag10,0.345015873,2.48227037,0.40925067,0.982963439,1.146060787,0.378488443
,SVM Regression,lag 1,0.692997164,2.525633611,0.863945144,1.073599772,1.175728346,0.731232264
,,lag 5,0.691450448,2.51443502,0.862689747,1.069048731,1.174465602,0.729551086
,,lag10,0.69334193,2.515898362,0.86666581,1.065494364,1.176140126,0.731572288
,K-NN Regression,lag 1,0.484375579,2.517669906,0.628817559,1.017870567,1.124898362,0.508852282
,,lag 5,0.489653445,2.566165523,0.620573535,1.113009947,1.15913072,0.525008081
,,lag10,0.475370749,2.473449151,0.610661785,1.007300247,1.126823604,0.500832933
SVM Regression,Lasso,lag 1,0.692122832,2.716974803,0.863945144,1.073599772,1.175728346,0.731232264
,,lag 5,0.691582039,2.719528071,0.859121051,1.077356159,1.184097266,0.729447274
,,lag10,0.693531639,2.722002711,0.864134273,1.072948146,1.184467607,0.73142925
,Random Forest,lag 1,0.582147566,2.668063077,0.750125586,1.026273712,1.160647248,0.677891207
,,lag 5,1.067884561,2.719040905,1.307922356,1.146930492,1.268075695,1.088896101
,,lag10,0.595967656,2.635183091,0.745026981,1.022228673,1.157693338,0.670193435
K-NN Regression,Lasso,lag 1,0.497793297,2.576427251,0.639141212,1.138891101,1.144530765,0.528507048
,,lag 5,0.486708826,2.566165523,0.636988253,1.113009947,1.15913072,0.525008081
,,lag10,0.491224678,2.518490446,0.62037985,1.03887039,1.150222866,0.521299828
,Random Forest,lag 1,0.516620435,2.531015917,0.663480589,1.021645264,1.157797726,0.599173075
,,lag 5,0.502575687,2.639974263,0.664722188,1.122305461,1.152950971,0.589181813
,,lag10,0.507779531,2.565633825,0.645029938,1.009893269,1.151684178,0.593294285
