,Name,Window_size,para
0,Agric,80.0,44.0
1,Food,80.0,37.0
2,Soda,80.0,5.0
3,Beer,80.0,19.0
4,Smoke,80.0,34.0
5,Toys,80.0,14.0
6,Fun,80.0,27.0
7,Books,80.0,31.0
8,Hshld,80.0,26.0
9,Clths,80.0,30.0
10,Hlth,80.0,47.0
11,MedEq,80.0,36.0
12,Drugs,80.0,31.0
13,Chems,80.0,25.0
14,Rubbr,80.0,30.0
15,Txtls,80.0,41.0
16,BldMt,80.0,23.0
17,Cnstr,80.0,14.0
18,Steel,80.0,41.0
19,FabPr,80.0,19.0
20,Mach,80.0,4.0
21,ElcEq,80.0,7.0
22,Autos,80.0,40.0
23,Aero,80.0,2.0
24,Ships,80.0,39.0
25,Guns,80.0,31.0
26,Gold,80.0,45.0
27,Mines,80.0,46.0
28,Coal,80.0,4.0
29,Oil,80.0,5.0
30,Util,80.0,29.0
31,Telcm,80.0,20.0
32,PerSv,80.0,27.0
33,BusSv,80.0,28.0
34,Comps,80.0,20.0
35,Chips,80.0,35.0
36,LabEq,80.0,23.0
37,Paper,80.0,26.0
38,Boxes,80.0,21.0
39,Trans,80.0,9.0
40,Whlsl,80.0,36.0
41,Rtail,80.0,25.0
42,Meals,80.0,9.0
43,Banks,80.0,22.0
44,Insur,80.0,15.0
45,RlEst,80.0,34.0
46,Fin,80.0,6.0
47,Other,80.0,18.0
