train_ID,train_type,starting_s,starting_s_ID,from_s,from_s_ID,to_s,to_s_ID,from_s_time,to_s_time,travel_time,boarding_passg at departure station,deboarding_passg at departure station,passg_number in the train,deboarding_passg at arrival station,number_passg at the arrival station,from_s_lat,from_s_long,to_s_lat,to_s_long
2222,IC,Aachen Hbf,8000001,Aachen Hbf,8000001,Herzogenrath,8002806,07:07:00,07:23:00,0 days 00:16:00.000000000,23,0,23,0,23,50.768094,6.0908760000000015,50.86499179999999,6.091241
2222,IC,Aachen Hbf,8000001,Herzogenrath,8002806,Geilenkirchen,8002206,07:23:00,07:31:00,0 days 00:08:00.000000000,6,0,29,0,29,50.86499179999999,6.091241,50.967168,6.117458400000032
2222,IC,Aachen Hbf,8000001,Geilenkirchen,8002206,Rheydt Hbf,8000318,07:31:00,07:48:00,0 days 00:17:00.000000000,6,0,35,0,35,50.967168,6.117458400000032,51.163072,6.440359
2222,IC,Aachen Hbf,8000001,Rheydt Hbf,8000318,Mönchengladbach Hbf,8000253,07:48:00,07:55:00,0 days 00:07:00.000000000,10,0,45,0,45,51.163072,6.440359,51.196611,6.445986
2222,IC,Aachen Hbf,8000001,Mönchengladbach Hbf,8000253,Viersen,8000174,07:55:00,08:03:00,0 days 00:08:00.000000000,19,0,64,0,64,51.196611,6.445986,51.2554987,6.3965235
2222,IC,Aachen Hbf,8000001,Viersen,8000174,Krefeld Hbf,8000211,08:03:00,08:16:00,0 days 00:13:00.000000000,8,0,72,0,72,51.2554987,6.3965235,51.325997,6.5696179999999975
2222,IC,Aachen Hbf,8000001,Krefeld Hbf,8000211,Duisburg Hbf,8000086,08:16:00,08:31:00,0 days 00:15:00.000000000,23,0,95,0,95,51.325997,6.5696179999999975,51.429554,6.777097
2222,IC,Aachen Hbf,8000001,Duisburg Hbf,8000086,Mülheim(Ruhr)Hbf,8000259,08:31:00,08:39:00,0 days 00:08:00.000000000,20,0,115,0,115,51.429554,6.777097,51.431041,6.8862619999999986
2222,IC,Aachen Hbf,8000001,Mülheim(Ruhr)Hbf,8000259,Essen Hbf,8000098,08:39:00,08:45:00,0 days 00:06:00.000000000,3,0,118,1,117,51.431041,6.8862619999999986,51.45041,7.012874000000001
2222,IC,Aachen Hbf,8000001,Essen Hbf,8000098,Bochum Hbf,8000041,08:47:00,08:57:00,0 days 00:10:00.000000000,17,1,134,0,134,51.45041,7.012874000000001,51.479416,7.223349000000002
2222,IC,Aachen Hbf,8000001,Bochum Hbf,8000041,Dortmund Hbf,8000080,08:57:00,09:09:00,0 days 00:12:00.000000000,16,0,150,4,146,51.479416,7.223349000000002,51.517251,7.459178
2222,IC,Aachen Hbf,8000001,Dortmund Hbf,8000080,Hamm(Westf),8000149,09:12:00,09:32:00,0 days 00:20:00.000000000,45,4,191,2,189,51.517251,7.459178,51.6738583,7.815981599999987
2222,IC,Aachen Hbf,8000001,Hamm(Westf),8000149,Gütersloh Hbf,8002461,09:34:00,09:55:00,0 days 00:21:00.000000000,8,2,197,0,197,51.6738583,7.815981599999987,51.907157,8.384633000000001
2222,IC,Aachen Hbf,8000001,Gütersloh Hbf,8002461,Bielefeld Hbf,8000036,09:55:00,10:04:00,0 days 00:09:00.000000000,5,0,202,1,201,51.907157,8.384633000000001,52.028886,8.533794
2222,IC,Aachen Hbf,8000001,Bielefeld Hbf,8000036,Herford,8000162,10:06:00,10:13:00,0 days 00:07:00.000000000,31,1,232,2,230,52.028886,8.533794,52.117831,8.6794
2222,IC,Aachen Hbf,8000001,Herford,8000162,Hannover Hbf,8000152,10:15:00,11:01:00,0 days 00:46:00.000000000,17,2,247,12,235,52.117831,8.6794,52.37498400000001,9.738815
2222,IC,Aachen Hbf,8000001,Hannover Hbf,8000152,Wolfsburg Hbf,8006552,11:04:00,11:36:00,0 days 00:32:00.000000000,53,12,288,9,279,52.37498400000001,9.738815,52.429644,10.767501
2222,IC,Aachen Hbf,8000001,Wolfsburg Hbf,8006552,Berlin-Spandau,8010404,11:36:00,12:39:00,0 days 01:03:00.000000000,0,9,279,22,257,52.429644,10.767501,52.535188,13.200296
2222,IC,Aachen Hbf,8000001,Berlin-Spandau,8010404,Berlin Hbf (tief),8098160,12:39:00,12:49:00,0 days 00:10:00.000000000,0,22,257,178,79,52.535188,13.200296,52.525084,13.369402
2222,IC,Aachen Hbf,8000001,Berlin Hbf (tief),8098160,Berlin Südkreuz,8011113,12:49:00,12:59:00,0 days 00:10:00.000000000,0,178,79,14,65,52.525084,13.369402,52.475619,13.365568
11,IXB,Bruxelles-Midi,8800004,Bruxelles-Midi,8800004,Bruxelles-Nord,8800002,06:25:00,06:33:00,0 days 00:08:00.000000000,41,0,41,0,41,50.836441,4.334788,50.860526,4.3617870000000005
11,IXB,Bruxelles-Midi,8800004,Bruxelles-Nord,8800002,Liege-Guillemins,8800012,06:33:00,07:12:00,0 days 00:39:00.000000000,12,0,53,0,53,50.860526,4.3617870000000005,50.622959,5.571599
11,IXB,Bruxelles-Midi,8800004,Liege-Guillemins,8800012,Aachen Hbf,8000001,07:12:00,07:37:00,0 days 00:25:00.000000000,12,0,65,1,64,50.622959,5.571599,50.768094,6.0908760000000015
11,IXB,Bruxelles-Midi,8800004,Aachen Hbf,8000001,Köln Hbf,8000207,07:40:00,08:15:00,0 days 00:35:00.000000000,23,1,87,23,64,50.768094,6.0908760000000015,50.94321400000001,6.958602000000001
11,IXB,Bruxelles-Midi,8800004,Köln Hbf,8000207,F-Flughafen Fernbf.,8070003,08:27:00,09:16:00,0 days 00:49:00.000000000,31,23,95,13,82,50.94321400000001,6.958602000000001,50.052885,8.569869
11,IXB,Bruxelles-Midi,8800004,F-Flughafen Fernbf.,8070003,Frankfurt(Main)Hbf,8000105,09:16:00,09:30:00,0 days 00:14:00.000000000,0,13,82,26,56,50.052885,8.569869,50.106529,8.662162
13,IXB,Bruxelles-Midi,8800004,Bruxelles-Midi,8800004,Liege-Guillemins,8800012,08:24:00,09:14:00,0 days 00:50:00.000000000,130,0,130,0,130,50.836441,4.334788,50.622959,5.571599
13,IXB,Bruxelles-Midi,8800004,Liege-Guillemins,8800012,Aachen Hbf,8000001,09:14:00,09:36:00,0 days 00:22:00.000000000,28,0,158,15,143,50.622959,5.571599,50.768094,6.0908760000000015
13,IXB,Bruxelles-Midi,8800004,Aachen Hbf,8000001,Köln Hbf,8000207,09:39:00,10:15:00,0 days 00:36:00.000000000,53,15,196,69,127,50.768094,6.0908760000000015,50.94321400000001,6.958602000000001
13,IXB,Bruxelles-Midi,8800004,Köln Hbf,8000207,F-Flughafen Fernbf.,8070003,10:26:00,11:16:00,0 days 00:50:00.000000000,71,69,198,40,158,50.94321400000001,6.958602000000001,50.052885,8.569869
